pos_y,ecc,hits,rms_trans,pos_x
11.63,2.802,4095,1.441,7.479
1.952,2.019,11,0.7295,2.723
2.469,9.898,78,0.3864,7.216
12.57,4.726,11,0.2876,11.91
2.218,3.764,146,0.8169,6.097
2.3,1.94,71,0.7732,11.87
7.019,1.802,180,0.273,12.79
5.877,1.313,49,1.175,11.04
7.543,15.02,178,0.2291,5.738
12.64,1.188,8,0.3718,12.35
5.775,3.49,502,0.5448,7.483
12.18,3.786,103,0.491,11.29
2.606,2.906,17,0.5077,3.386
4.548,3.845,179,0.9468,7.051
12.49,2.619,901,0.3111,4.117
2.107,2.041,68,0.7625,10.87
4.143,3.367,148,0.9026,10.59
5.892,7.319,84,0.3699,11.79
12.18,4.722,61,0.6819,7.891
11.08,1.727,11,0.6939,12.51
1.335,2.756,53,0.3737,11.84
3.011,2.147,150,0.8317,3.191
7.451,4.866,94,0.9246,8.075
7.837,2.061,225,0.7953,5.482
12.31,1.5,24,0.9232,9.746
3.441,3.506,17,0.5603,11.73
2.561,1.653,55,0.9623,2.982
7.152,5.241,145,0.8802,7.486
4.77,2.538,429,0.8331,12.1
3.559,5.668,122,0.6777,8.998
3.838,3.658,42,0.9137,4.824
10.96,2.933,12,0.0997,11.88
10.76,4.659,65,0.7391,6.82
2.698,1.603,98,0.8873,4.052
3.503,7.464,42,0.6694,5.935
0.8682,2.603,7,0.2726,2.974
3.516,4.784,62,0.7766,6.213
3.514,2.499,25,0.7797,2.472
3.318,3.724,129,0.8622,5.258
7.818,1.61,69,0.798,12.26
11.81,3.661,83,0.8551,5.983
8.973,9.423,102,0.4938,6.778
12.94,6.07,9,0.1869,8.644
5.919,3.365,66,0.2429,2.205
2.329,2.348,19,0.5114,12.94
11.62,4.425,69,0.8745,4.918
10.83,3.498,113,0.7287,8.139
11.69,1.267,63,0.9322,4.235
9.874,4.172,86,0.8995,8.413
2.607,8.083,139,0.4816,7.527
6.133,2.381,235,1.39,2.774
4.036,10.03,148,0.3836,4.615
2.486,4.069,512,0.8359,8.813
11.92,4.659,191,0.3205,7.609
6.56,10.44,59,0.3526,5.649
7.573,6.275,62,0.6145,10.91
1.503,1.42,29,0.5553,1.837
6.598,4.345,100,0.7325,5.195
12.08,4.244,47,0.7974,7.455
11.62,8.835,40,0.2025,9.236
1.505,1.166,96,0.5195,12.41
6.116,4.23,837,0.921,5.784
11.87,1.949,111,0.7989,3.566
3.156,1.324,27,1.038,12.05
2.822,6.706,144,0.4816,6.035
12.3,2.145,44,0.5578,11.07
2.778,7.377,133,0.4817,5.411
5.671,4.496,52,0.2645,2.174
5.552,8,196,0.5023,9.073
6.569,4.915,121,0.8383,10.6
6.19,3.022,175,1.126,9.143
12.17,4.049,62,0.6391,8.372
8.238,2.349,112,1.023,4.03
12.23,5.671,8,0.137,1.127
7.316,1.676,100,2.631,9.845
7.449,9.844,63,0.1219,5.44
6.63,3.384,114,0.7986,2.201
2.409,1.347,53,0.5727,12.67
3.877,4.79,105,0.5379,4.085
9.814,1.302,589,0.7983,1.93
4.667,4.537,81,0.7916,7.554
3.786,4.25,150,0.7911,7.19
10.13,1.526,114,1.883,7.989
1.498,3.267,65,0.372,9.343
